file,verdict,coverageState,indexingState,pageFetchState,robotsTxtState,userCanonical,googleCanonical,lastCrawlTime,sitemap
012.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/es/ressources/articles/gestion-et-optimisation-du-patrimoine-en-suisse-strategies-pme-hni-geneve-2025/,https://ark-fid.ch/es/ressources/articles/gestion-et-optimisation-du-patrimoine-en-suisse-strategies-pme-hni-geneve-2025/,2026-02-15T19:01:07Z,https://ark-fid.ch/sitemap.xml
013.json,NEUTRAL,Page with redirect,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,https://ark-fid.ch/en/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,2026-02-14T09:59:01Z,
014.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/es/services/family-office/,https://ark-fid.ch/es/services/family-office/,2026-02-10T17:52:35Z,https://ark-fid.ch/sitemap.xml
015.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/services/family-office/,https://ark-fid.ch/fr/services/family-office/,2026-01-27T05:50:58Z,https://ark-fid.ch/sitemap.xml
016.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/de/services/mergers-acquisitions/,https://ark-fid.ch/de/services/mergers-acquisitions/,2026-02-15T06:34:03Z,
017.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/services/incorporation/,https://ark-fid.ch/en/services/incorporation/,2026-02-06T04:28:41Z,
018.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/cotisations-sociales-independants-pme-2026-suivi-calcul-erreurs-pieges-a-eviter-geneve-vaud/,https://ark-fid.ch/en/ressources/articles/cotisations-sociales-independants-pme-2026-suivi-calcul-erreurs-pieges-a-eviter-geneve-vaud/,2026-02-04T22:43:03Z,
019.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/services/family-office/,https://ark-fid.ch/en/services/family-office/,2026-02-11T18:38:20Z,https://ark-fid.ch/sitemap.xml
020.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,https://ark-fid.ch/en/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,2026-02-14T09:59:01Z,https://ark-fid.ch/sitemap.xml
021.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/de/services/odoo/,https://ark-fid.ch/de/services/odoo/,2026-01-15T13:28:19Z,
022.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/services/domiciliation/,https://ark-fid.ch/fr/services/domiciliation/,2026-02-17T08:42:12Z,https://ark-fid.ch/sitemap.xml
023.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/services/taxes/,https://ark-fid.ch/en/services/taxes/,2026-01-27T08:23:35Z,https://ark-fid.ch/sitemap.xml
024.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,https://ark-fid.ch/fr/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande,2026-01-25T10:35:03Z,
025.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/reforme-fiscale-geneve-2025-impact-contribuables-pme/,https://ark-fid.ch/en/ressources/articles/reforme-fiscale-geneve-2025-impact-contribuables-pme/,2026-02-03T05:50:54Z,https://ark-fid.ch/sitemap.xml
026.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/pt/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,https://ark-fid.ch/pt/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,2026-01-26T02:36:55Z,https://ark-fid.ch/sitemap.xml
027.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,https://ark-fid.ch/fr/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,2026-02-13T17:48:17Z,
028.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/guide-cotisations-sociales-employeurs-suisse-2026/,https://ark-fid.ch/fr/ressources/articles/guide-cotisations-sociales-employeurs-suisse-2026/,2026-02-08T23:12:29Z,
029.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/services/externalisation/,https://ark-fid.ch/fr/services/externalisation/,2026-02-06T00:49:37Z,
030.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/cotisations-sociales-independants-pme-2026-suivi-calcul-erreurs-pieges-a-eviter-geneve-vaud/,https://ark-fid.ch/en/ressources/articles/cotisations-sociales-independants-pme-2026-suivi-calcul-erreurs-pieges-a-eviter-geneve-vaud,2026-01-18T02:21:05Z,
031.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/odoo-erp-pme-suisse-romande-integration-optimale-2025-conseils-solutions/,https://ark-fid.ch/en/ressources/articles/odoo-erp-pme-suisse-romande-integration-optimale-2025-conseils-solutions/,2026-02-15T18:58:31Z,
032.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/es/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,https://ark-fid.ch/es/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,2026-01-26T14:43:25Z,
033.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/services/accounting/,https://ark-fid.ch/en/services/accounting/,2026-01-31T13:47:24Z,https://ark-fid.ch/sitemap.xml
034.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/about/,https://ark-fid.ch/en/about/,2026-01-27T07:28:35Z,https://ark-fid.ch/sitemap.xml
035.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants/,https://ark-fid.ch/fr/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants/,2026-01-27T07:42:17Z,https://ark-fid.ch/sitemap.xml
036.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/services/domiciliation/,https://ark-fid.ch/en/services/domiciliation/,2026-01-27T07:17:50Z,https://ark-fid.ch/sitemap.xml
037.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/services/comptabilite/,https://ark-fid.ch/fr/services/comptabilite/,2026-01-12T17:17:13Z,https://ark-fid.ch/sitemap.xml
038.json,NEUTRAL,Page with redirect,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/optimisation-charges-sociales-suisse-romande-guide-independants-pme-2025/,https://ark-fid.ch/en/ressources/articles/optimisation-charges-sociales-suisse-romande-guide-independants-pme-2025/,2025-12-25T11:25:19Z,
039.json,NEUTRAL,URL is unknown to Google,INDEXING_STATE_UNSPECIFIED,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,,,
040.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/odoo-18-paie-comptabilite-nouveautes-geneve-2025/,https://ark-fid.ch/fr/ressources/articles/odoo-18-paie-comptabilite-nouveautes-geneve-2025/,2026-02-11T12:38:16Z,https://ark-fid.ch/sitemap.xml
041.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/declarations-fiscales-independants-pme-erreurs-recurrentes-et-optimisations-geneve-vaud-2026-guide-pratique/,https://ark-fid.ch/fr/ressources/articles/declarations-fiscales-independants-pme-erreurs-recurrentes-et-optimisations-geneve-vaud-2026-guide-pratique/,2026-01-27T06:27:48Z,
042.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/baisse-impots-geneve-2025/,https://ark-fid.ch/en/ressources/articles/baisse-impots-geneve-2025/,2026-02-17T05:32:36Z,
043.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/team/hassan-barbir/,https://ark-fid.ch/fr/team/hassan-barbir/,2026-02-12T22:48:42Z,https://ark-fid.ch/sitemap.xml
044.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/about/,https://ark-fid.ch/fr/about/,2026-02-10T02:39:10Z,https://ark-fid.ch/sitemap.xml
045.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/,https://ark-fid.ch/en/,2026-02-15T07:18:37Z,
046.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/team/,https://ark-fid.ch/fr/team/,2026-02-12T22:43:46Z,https://ark-fid.ch/sitemap.xml
047.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/optimiser-domiciliation-et-direction-pme-suisse-romande-2026-pieges-etapes-conseils-pratiques/,https://ark-fid.ch/fr/ressources/articles/optimiser-domiciliation-et-direction-pme-suisse-romande-2026-pieges-etapes-conseils-pratiques/,2026-01-29T14:06:31Z,https://ark-fid.ch/sitemap.xml
048.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/services/fusions-acquisitions/,https://ark-fid.ch/fr/services/fusions-acquisitions/,2026-02-16T06:48:56Z,https://ark-fid.ch/sitemap.xml
049.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/es/ressources/articles/creer-entreprise-suisse/,https://ark-fid.ch/es/ressources/articles/creer-entreprise-suisse/,2025-11-23T07:35:27Z,https://ark-fid.ch/sitemap.xml
050.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/services/odoo/,https://ark-fid.ch/en/services/odoo/,2026-02-12T06:20:45Z,
051.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/es/ressources/articles/fiscalite-cryptomonnaies-suisse-2025/,https://ark-fid.ch/es/ressources/articles/fiscalite-cryptomonnaies-suisse-2025/,2026-02-16T15:30:06Z,
052.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/erreurs-courantes-et-optimisations-legales-lors-du-changement-de-canton-pour-les-pme-et-independants-en-suisse-2025/,https://ark-fid.ch/en/ressources/articles/erreurs-courantes-et-optimisations-legales-lors-du-changement-de-canton-pour-les-pme-et-independants-en-suisse-2025/,2025-12-30T04:08:48Z,https://ark-fid.ch/sitemap.xml
053.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/proces-verbal-assemblee-generale-obligations-redaction-suisse-2025/,https://ark-fid.ch/en/ressources/articles/proces-verbal-assemblee-generale-obligations-redaction-suisse-2025/,2025-11-07T06:01:50Z,https://ark-fid.ch/sitemap.xml
054.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants/,https://ark-fid.ch/en/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants/,2026-01-10T10:36:36Z,
055.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/swissdec-5-paie-geneve-obligations-2025/,https://ark-fid.ch/en/ressources/articles/swissdec-5-paie-geneve-obligations-2025/,2026-01-14T07:28:03Z,https://ark-fid.ch/sitemap.xml
056.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/services/mergers-acquisitions/,https://ark-fid.ch/en/services/mergers-acquisitions/,2026-02-12T07:45:48Z,
057.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/,https://ark-fid.ch/en/ressources/,2026-02-07T06:49:47Z,
058.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants/,https://ark-fid.ch/en/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants,2026-01-10T10:36:36Z,
059.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/services/payroll/,https://ark-fid.ch/en/services/payroll/,2026-01-27T03:11:56Z,
060.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/pt/ressources/articles/guide-cotisations-sociales-employeurs-suisse-2026/,https://ark-fid.ch/pt/ressources/articles/guide-cotisations-sociales-employeurs-suisse-2026/,2026-02-08T23:15:03Z,https://ark-fid.ch/sitemap.xml
061.json,NEUTRAL,Page with redirect,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/,https://ark-fid.ch/fr/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/,2026-01-05T04:32:03Z,
062.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/de/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,https://ark-fid.ch/de/ressources/articles/nouveautes-et-regles-concretes-cotisations-sociales-et-certificats-de-salaire-2026-pme-independants-suisse-romande/,2026-01-26T20:23:56Z,
063.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/services/paie/,https://ark-fid.ch/fr/services/paie/,2026-02-16T15:49:09Z,https://ark-fid.ch/sitemap.xml
064.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/contact/,https://ark-fid.ch/fr/contact/,2026-02-14T05:31:59Z,https://ark-fid.ch/sitemap.xml
065.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/domiciliation-entreprise-geneve/,https://ark-fid.ch/en/ressources/articles/domiciliation-entreprise-geneve/,2026-02-06T01:14:55Z,https://ark-fid.ch/sitemap.xml
066.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/de/services/outsourcing/,https://ark-fid.ch/de/services/outsourcing/,2026-02-11T15:22:40Z,https://ark-fid.ch/sitemap.xml
067.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/cotisations-sociales-independants-pme-2026-suivi-calcul-erreurs-pieges-a-eviter-geneve-vaud/,https://ark-fid.ch/fr/ressources/articles/cotisations-sociales-independants-pme-2026-suivi-calcul-erreurs-pieges-a-eviter-geneve-vaud/,2026-01-26T04:59:27Z,https://ark-fid.ch/sitemap.xml
068.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/services/,https://ark-fid.ch/fr/services/,2026-02-17T09:19:36Z,
069.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/changement-lpp-geneve-2025-employeurs-independants/,https://ark-fid.ch/en/ressources/articles/changement-lpp-geneve-2025-employeurs-independants/,2026-02-12T05:02:17Z,https://ark-fid.ch/sitemap.xml
070.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/swissdec-5-0-et-salaires-geneve-2025-points-cles/,https://ark-fid.ch/fr/ressources/articles/swissdec-5-0-et-salaires-geneve-2025-points-cles/,2026-02-03T17:24:11Z,https://ark-fid.ch/sitemap.xml
071.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/reussir-l-externalisation-de-la-gestion-de-paie-en-suisse-romande-risques-et-garanties-2025/,https://ark-fid.ch/fr/ressources/articles/reussir-l-externalisation-de-la-gestion-de-paie-en-suisse-romande-risques-et-garanties-2025/,2026-01-31T09:34:22Z,
072.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/contact/,https://ark-fid.ch/en/contact/,2026-02-03T04:07:20Z,
073.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/,https://ark-fid.ch/en/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/,2026-01-12T19:34:37Z,
074.json,NEUTRAL,Page with redirect,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/fiscalite-cryptomonnaies-suisse-2025/,https://ark-fid.ch/en/ressources/articles/fiscalite-cryptomonnaies-suisse-2025/,2025-09-28T23:15:19Z,
075.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/de/services/accounting/,https://ark-fid.ch/de/services/accounting/,2026-01-27T08:34:49Z,https://ark-fid.ch/sitemap.xml
076.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/lpp-2025-reformes-nouvelles-obligations-et-impacts-pratiques-pour-les-entreprises-et-independants-geneve/,https://ark-fid.ch/fr/ressources/articles/lpp-2025-reformes-nouvelles-obligations-et-impacts-pratiques-pour-les-entreprises-et-independants-geneve/,2025-11-17T12:58:59Z,
077.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/services/constitution-entreprise/,https://ark-fid.ch/fr/services/constitution-entreprise/,2026-02-15T19:03:21Z,https://ark-fid.ch/sitemap.xml
078.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/gestion-et-optimisation-du-patrimoine-en-suisse-strategies-pme-hni-geneve-2025/,https://ark-fid.ch/en/ressources/articles/gestion-et-optimisation-du-patrimoine-en-suisse-strategies-pme-hni-geneve-2025/,2026-01-23T14:33:45Z,
079.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/es/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/,https://ark-fid.ch/es/ressources/articles/optimiser-declaration-tva-suisse-2026-erreurs-courantes-et-guides-concrets-pme-independants/,2026-01-14T06:45:44Z,
080.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/ressources/articles/declarations-fiscales-independants-pme-erreurs-recurrentes-et-optimisations-geneve-vaud-2026-guide-pratique/,https://ark-fid.ch/en/ressources/articles/declarations-fiscales-independants-pme-erreurs-recurrentes-et-optimisations-geneve-vaud-2026-guide-pratique/,2026-01-13T02:25:35Z,https://ark-fid.ch/sitemap.xml
081.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/en/team/,https://ark-fid.ch/en/team/,2026-02-02T21:53:24Z,
082.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/externalisation-comptabilite-geneve-pme-avantages-etapes-solutions-2025/,https://ark-fid.ch/fr/ressources/articles/externalisation-comptabilite-geneve-pme-avantages-etapes-solutions-2025/,2026-01-10T10:00:48Z,https://ark-fid.ch/sitemap.xml
083.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/es/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants/,https://ark-fid.ch/es/ressources/articles/optimiser-les-charges-sociales-en-suisse-romande-2026-erreurs-frequentes-pour-pme-independants/,2026-01-09T19:30:43Z,https://ark-fid.ch/sitemap.xml
084.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/fr/ressources/articles/transmission-entreprise-geneve-succession-strategique-pme-famille-2025/,https://ark-fid.ch/fr/ressources/articles/transmission-entreprise-geneve-succession-strategique-pme-famille-2025/,2026-02-13T08:44:34Z,https://ark-fid.ch/sitemap.xml
085.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/de/ressources/articles/proces-verbal-assemblee-generale-obligations-redaction-suisse-2025/,https://ark-fid.ch/de/ressources/articles/proces-verbal-assemblee-generale-obligations-redaction-suisse-2025/,2026-01-27T07:06:49Z,https://ark-fid.ch/sitemap.xml
086.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/de/services/family-office/,https://ark-fid.ch/de/services/family-office/,2026-02-12T14:32:12Z,
087.json,PASS,Submitted and indexed,INDEXING_ALLOWED,SUCCESSFUL,ALLOWED,https://ark-fid.ch/de/team/,https://ark-fid.ch/de/team/,2026-02-13T03:36:27Z,https://ark-fid.ch/sitemap.xml
